id,source_name,company,city,salary_min,salary_max,experience,education,publish_time,source_url,抽取技能,jd长度
9944,51job,江苏高捷节能装备集团有限公司,南京·高淳区,10000,15000,2-5年,本科,,https://jobs.51job.com/nanjing-gcq/172625107.html?s=sou_sou_soulb&t=0_0&req=e22c90a0-e3af-485b-9fe5-76a7de2d1477,tableau/数据可视化/python/power bi,345
10080,51job,上海智元信息科技有限公司,上海·浦东新区,8000,15000,1年及以上,本科,,https://jobs.51job.com/shanghai-pdxq/169606549.html?s=sou_sou_soulb&t=0_0&req=bda3830f-34be-45fc-85aa-2687e576078c,深度学习/python/c#/tensorflow/机器学习,336
10093,51job,上海东锦食品集团有限公司,上海·嘉定区,9000,16000,1-3年,本科,,https://jobs.51job.com/shanghai-jdq/172187198.html?s=sou_sou_soulb&t=0_0&req=bda3830f-34be-45fc-85aa-2687e576078c,大模型/数据可视化/rag/agent/智能体,504
10140,51job,深圳柏垠生物科技有限公司,深圳·光明区,20000,30000,2年及以上,硕士,,https://jobs.51job.com/shenzhen-gmq/170138431.html?s=sou_sou_soulb&t=0_0&req=f9636a6f-6216-43f9-8947-aa2e08c9ccbd,python/pandas/数据可视化/机器学习/numpy/scikit-learn,525
10144,51job,深圳山灵数码科技发展有限公司,深圳·南山区,15000,25000,4年及以上,本科,,https://jobs.51job.com/shenzhen-nsq/171822496.html?s=sou_sou_soulb&t=0_0&req=f9636a6f-6216-43f9-8947-aa2e08c9ccbd,嵌入式/dsp/python/大模型/单元测试/langchain/docker/sqlite/react/向量数据库/自动化测试/测试用例/vllm/rag/vue/agent,1045
10145,51job,电连技术股份有限公司,深圳·光明区,10000,20000,3年及以上,本科,,https://jobs.51job.com/shenzhen-gmq/172969494.html?s=sou_sou_soulb&t=0_0&req=f9636a6f-6216-43f9-8947-aa2e08c9ccbd,python/大模型/langchain/docker/pytorch/prompt/tensorflow/向量数据库/ci/cd/rag/微调,782
10153,51job,世强先进（深圳）科技股份有限公司,深圳·龙岗区,10000,20000,3年及以上,本科,,https://jobs.51job.com/shenzhen-lgq/172848145.html?s=sou_sou_soulb&t=0_0&req=90f97de6-53f8-453c-8997-8edc7cfc8fe7,深度学习/大模型/dify/机器学习/rag/强化学习/智能体,425
10241,51job,成都德商产投物业服务有限公司,成都·武侯区,12000,15000,2年及以上,硕士,,https://jobs.51job.com/chengdu-whq/171989329.html?s=sou_sou_soulb&t=0_0&req=8e871a06-91f0-4f8f-ac80-fa00739ef984,nlp/python/大模型/llm/langchain/docker/prompt/c++/智能体/机器学习/agent/微调/自然语言处理,863
10263,51job,上海青燕和示科技有限公司,上海·青浦区,20000,40000,3-5年,本科,,https://jobs.51job.com/shanghai-qpq/173016546.html?s=sou_sou_soulb&t=0_1&req=dcc9c868-d87d-4bdb-a49f-de73b57be14b,提示词工程/python/大模型/langchain/docker/向量数据库/fastapi/llm/中台/flask/rag/agent/智能体,554
10287,51job,深圳科瑞技术股份有限公司,深圳·光明区,15000,20000,3年及以上,本科,,https://jobs.51job.com/shenzhen-gmq/172126233.html?s=sou_sou_soulb&t=0_1&req=fce5d876-daa3-4e0c-98da-13d46efc5205,深度学习/大模型/c#/微调/prompt/向量数据库/llm/机器学习/rag/agent/智能体,390
10288,51job,儒拉玛特自动化技术（苏州）有限公司,苏州·苏州工业园区,10000,15000,2-3年,本科,,https://jobs.51job.com/suzhou-gyyq/172807449.html?s=sou_sou_soulb&t=0_1&req=fce5d876-daa3-4e0c-98da-13d46efc5205,深度学习/python/大模型/c#/java/向量数据库/react/llm/机器学习/rag/vue/agent/智能体,1155
10304,51job,深圳市中讯网联科技有限公司,武汉·武昌区,10000,18000,3年及以上,本科,,https://jobs.51job.com/wuhan-wcq/172989722.html?s=sou_sou_soulb&t=0_0&req=d7166c00-eebf-4bd3-abf3-a3e7982aab65,提示词工程/python/大模型/docker/pytorch/agent/tensorflow/kubernetes/fastapi/django/flask/rag/restful/微服务/微调,527
10333,51job,东吴在线（上海）金融信息服务有限公司,上海·浦东新区,10000,20000,2年及以上,本科,,https://jobs.51job.com/shanghai-pdxq/172408020.html?s=sou_sou_soulb&t=0_1&req=28862898-e9ad-4532-a615-da37ae26296b,postgresql/mcp/spring cloud/langchain/mybatis/pytorch/fine-tuning/单元测试/tensorflow/向量数据库/spring boot/微服务/智能体/深度学习/prompt/llm/rag/mysql/机器学习/agent/微调,873
10341,51job,胜宏科技（惠州）股份有限公司,惠州·惠阳区,15000,30000,3年及以上,本科,,https://jobs.51job.com/huizhou-hyq/172954007.html?s=sou_sou_soulb&t=0_1&req=28862898-e9ad-4532-a615-da37ae26296b,ocr/pytorch/etl/数据仓库/tensorflow/向量数据库/pcb/目标检测/计算机视觉/智能体/深度学习/python/大模型/prompt/llm/rag/机器学习/agent/微调,1892
10411,51job,吉尔克史通讯科技（武汉）有限公司,深圳·宝安区,15000,30000,3年及以上,本科,,https://jobs.51job.com/shenzhen-baq/172577507.html?s=sou_sou_soulb&t=0_0&req=d445514d-233a-4789-be60-e394d846f293,深度学习/计算机视觉/目标检测/pytorch,339
11613,51job,广州医药股份有限公司,广州·荔湾区,8000,12000,2年,本科,,https://jobs.51job.com/guangzhou-lwq/169861006.html?s=sou_sou_soulb&t=0_0&req=70938a57-a5b8-4fc0-a07d-e0e5b383dbd3,embedding/提示词工程/深度学习/python/机器学习/大模型/langchain/pytorch/tensorflow/向量数据库/dify/中台/agent/微调,360
11622,51job,广州视声智能股份有限公司,广州·黄埔区,10000,15000,2年及以上,本科,,https://jobs.51job.com/guangzhou-hpq/172166082.html?s=sou_sou_soulb&t=0_0&req=70938a57-a5b8-4fc0-a07d-e0e5b383dbd3,postgresql/python/大模型/mcp/mongodb/linux/vllm/rag/mysql/agent,1089
11660,51job,广州七乐康数字健康医疗科技有限公司,广州·荔湾区,25000,35000,1年及以上,本科,,https://jobs.51job.com/guangzhou-lwq/170152040.html?s=sou_sou_soulb&t=0_0&req=a827551a-3e07-453e-8e6a-a549153795a4,langchain/语音识别/pytorch/linux/fine-tuning/docker/tensorflow/dify/计算机视觉/高并发/深度学习/python/大模型/mongodb/数据清洗/llm/rag/mysql/nlp/微调,748
12043,51job,深圳华夏恒泰电子有限公司,深圳,10000,20000,2年及以上,本科,,https://jobs.51job.com/shenzhen/172874928.html?s=sou_sou_soulb&t=0_0&req=feca6c47-baee-485c-b4e7-6520a06972bc,深度学习/python/大模型/pandas/pytorch/tensorflow/plc/数据清洗/机器学习/numpy/scikit-learn,529
17822,51job,广州美聚优选影视传媒有限公司,,20000,40000,2年及以上,本科,,https://jobs.51job.com/all/170822573.html?s=sou_sou_soulb&t=0_0&req=1213a52d-fbe2-453a-b6d6-8a2cc3a67148,python/向量数据库/rag/agent/node.js,176
18768,51job,武汉生之源生物科技股份有限公司,武汉,15000,20000,3年及以上,本科,,https://jobs.51job.com/wuhan/170956074.html?s=sou_sou_soulb&t=0_0&req=d7166c00-eebf-4bd3-abf3-a3e7982aab65,postgresql/pandas/langchain/java/flask/fastapi/etl/embedding/向量数据库/dify/numpy/git/python/大模型/mongodb/redis/负载均衡/rag/mysql/elasticsearch/typescript/go/django/降级/agent,1736
