类别,岗位,数据源表,岗位样本数,含技能样本,技能点数,分类数,可视化
既有岗位,Java开发工程师,the_total_table,99,98,66,11,能力图谱-可视化.html
新岗位,AI应用工程师,the_total_table,52,51,71,10,能力图谱-可视化.html
