id,source_name,company,city,salary_min,salary_max,experience,education,publish_time,source_url,抽取技能,jd长度
2899,51job,兴业数字金融服务（上海）股份有限公司,成都,15000,25000,在校生/应届生,本科,,https://jobs.51job.com/chengdu/158108330.html?s=sou_sou_soulb&t=0_0&req=0ca562bb-9c1d-4a76-95c6-288e91cd1c01,单元测试/spring cloud/java/spring boot/mysql,358
2971,51job,北京深辉机械科技有限公司,北京·海淀区,10000,20000,无需经验,本科,,https://jobs.51job.com/beijing-hdq/170899245.html?s=sou_sou_soulb&t=0_0&req=e5e00ef1-453f-4f43-86da-b54ad4ec60fe,java/mybatis/spring boot,249
3607,51job,南京绛门信息科技有限公司,深圳·南山区,8000,10000,1年及以上,本科,,https://jobs.51job.com/shenzhen-nsq/170351422.html?s=sou_sou_soulb&t=0_0&req=c4ab6b3e-ca3a-4c88-a7ad-e0c5fb4a42e8,nginx/spark/mysql/flink/mybatis/java/redis/spring boot/scala/hive,258
3917,51job,才纵（上海）工程技术有限公司,绍兴,10000,20000,2-8年,大专,,https://jobs.51job.com/shaoxing/173023811.html?s=sou_sou_soulb&t=0_1&req=5695c053-00a2-43d2-9c0d-9bcce7f187ee,git/java/redis/kafka/spring boot/ci/cd/微服务,372
4847,51job,广州市亿博信息技术有限公司,广州·黄埔区,10000,15000,3年及以上,大专,,https://jobs.51job.com/guangzhou-hpq/172356592.html?s=sou_sou_soulb&t=0_0&req=2c26df6e-9de7-428a-9b04-56bb283f1345,nginx/spring cloud/mybatis/java/redis/tomcat/spring boot/mysql/微服务,175
4853,51job,广东暨通信息发展有限公司,广州·天河区,9000,15000,3年及以上,本科,,https://jobs.51job.com/guangzhou-thq/146447241.html?s=sou_sou_soulb&t=0_0&req=16a1e539-4e73-49fa-9a30-1cc3b9991004,git/vite/rabbitmq/spring cloud/docker/mybatis/java/redis/html/linux/css/webpack/spring boot/vue/mysql/微服务,456
4862,51job,广州智租信息科技有限责任公司,广州·天河区,12000,16000,3年及以上,本科,,https://jobs.51job.com/guangzhou-thq/172470586.html?s=sou_sou_soulb&t=0_0&req=7216e7b2-d0bd-4207-a78e-2f0e1365ef9e,nginx/git/python/分布式/jquery/mybatis/缓存/java/redis/spring boot/vue/nodejs/jenkins/mysql,679
4878,51job,侨益物流股份有限公司,广州·黄埔区,8000,12000,3年及以上,本科,,https://jobs.51job.com/guangzhou-hpq/171750563.html?s=sou_sou_soulb&t=0_0&req=9933ae71-7a55-437b-8077-e30d0b40f37d,nginx/分布式/zookeeper/oracle/spring cloud/hibernate/mysql/mybatis/java/redis/linux/spring boot/rocketmq/微服务,436
4891,51job,深圳市南电云商有限公司,广州,7000,12000,3年及以上,本科,,https://jobs.51job.com/guangzhou/172084998.html?s=sou_sou_soulb&t=0_0&req=e64cb177-5e24-4934-a929-4b12845f5bdc,nginx/分布式/rabbitmq/oracle/spring cloud/docker/java/redis/kafka/linux/tomcat/spring boot/高并发/mysql/微服务,743
4980,51job,广州云岫信息科技有限公司,广州·天河区,10000,15000,2-4年,本科,,https://jobs.51job.com/guangzhou-thq/98661382.html?s=sou_sou_soulb&t=0_0&req=55a5d99b-d0b7-4a1c-875f-5f4f7b8de219,git/单元测试/前端框架/javascript/spring/mybatis/java/html/接口开发/css/vue/mysql,441
5005,51job,武汉众智数字技术有限公司,广州·黄埔区,9000,18000,3年及以上,本科,,https://jobs.51job.com/guangzhou-hpq/170519175.html?s=sou_sou_soulb&t=0_0&req=16a1e539-4e73-49fa-9a30-1cc3b9991004,postgresql/nginx/git/消息队列/uniapp/rabbitmq/spring cloud/docker/java/redis/kafka/gitlab/linux/spring boot/vue/mysql,433
5132,51job,深圳市特力（集团）股份有限公司,深圳·罗湖区,10000,20000,2年及以上,本科,,https://jobs.51job.com/shenzhen-luohuqu/171504116.html?s=sou_sou_soulb&t=0_0&req=51b8989b-c587-4c28-b40c-25115edf8846,消息队列/git/rabbitmq/mysql/maven/redis/gradle/spring boot/jenkins/rocketmq/微服务/elasticsearch,289
5133,51job,深圳鹏智瑞数字营销有限公司,深圳·南山区,14000,17000,4-8年,本科,,https://jobs.51job.com/shenzhen-nsq/172490519.html?s=sou_sou_soulb&t=0_0&req=e89f3959-eee6-495f-accf-8c1fde9deb1e,git/分布式/rabbitmq/spring cloud/mysql/docker/mybatis/maven/java/redis/spring boot/高并发/rocketmq/微服务/elasticsearch,760
5146,51job,聚合吧科技有限公司,深圳·南山区,13000,20000,3年及以上,本科,,https://jobs.51job.com/shenzhen-nsq/171231106.html?s=sou_sou_soulb&t=0_0&req=e2bc6f28-1f48-422a-909a-c7a4299653c2,spring cloud/微服务/spring boot/java,260
5147,51job,聚合吧科技有限公司,深圳·南山区,15000,20000,3年及以上,本科,,https://jobs.51job.com/shenzhen-nsq/170977329.html?s=sou_sou_soulb&t=0_0&req=e2bc6f28-1f48-422a-909a-c7a4299653c2,spring cloud/mysql/mybatis/java/redis/linux/spring boot/dubbo/rocketmq,358
5159,51job,深圳建广数字科技有限公司青岛分公司,广州·番禺区,10000,11000,7年及以上,大专,,https://jobs.51job.com/guangzhou-pyq/172825434.html?s=sou_sou_soulb&t=0_0&req=9c02891c-8b8d-40e5-aa5d-3a32f2d9761a,消息队列/分布式/rabbitmq/oracle/spring cloud/mybatis/mongodb/java/redis/kafka/负载均衡/缓存/spring boot/dubbo/降级/mysql/微服务,411
5178,51job,广东省建筑科学研究院集团股份有限公司,广州·天河区,8000,15000,3年及以上,本科,,https://jobs.51job.com/guangzhou-thq/172705403.html?s=sou_sou_soulb&t=0_0&req=e64cb177-5e24-4934-a929-4b12845f5bdc,消息队列/单元测试/rabbitmq/spring cloud/mybatis/缓存/java/redis/kafka/spring boot,944
5185,51job,胜通和科技有限公司,广州·天河区,7000,9000,2年及以上,本科,,https://jobs.51job.com/guangzhou-thq/171692931.html?s=sou_sou_soulb&t=0_0&req=e64cb177-5e24-4934-a929-4b12845f5bdc,消息队列/sql优化/git/rabbitmq/oracle/spring cloud/mybatis/maven/java/redis/kafka/接口开发/spring boot/高并发/mysql,536
5192,51job,广州市都享信息科技有限公司,广州·番禺区,5000,7000,1年及以上,本科,,https://jobs.51job.com/guangzhou-pyq/167624634.html?s=sou_sou_soulb&t=0_0&req=f7a26dc1-6962-43c9-9ab3-28d26713bfaf,sql优化/分布式/rabbitmq/spring cloud/docker/mybatis/mongodb/java/redis/kafka/kubernetes/spring boot/高并发/mysql/微服务,517
5203,51job,智同道合（黑龙江）信息技术有限公司,广州·天河区,15000,20000,2年及以上,本科,,https://jobs.51job.com/guangzhou-thq/168470971.html?s=sou_sou_soulb&t=0_0&req=7f581ea1-1dd2-4d9c-89e0-b7f43bb20f90,sql优化/单元测试/分布式/mybatis/缓存/java/redis/spring boot/mysql/微服务,317
6079,51job,数字节点（杭州）科技有限公司,福州·鼓楼区,9000,14000,3年及以上,大专,,https://jobs.51job.com/fuzhou-glq/172945733.html?s=sou_sou_soulb&t=0_0&req=cff988e1-a698-4280-a3c3-52de61fe8d86,oracle/spring cloud/mybatis/java/spring boot/mysql,382
6080,51job,兴业数字金融服务（上海）股份有限公司,福州·台江区,20833,31666,2年及以上,硕士,,https://jobs.51job.com/fuzhou-tjq/172925643.html?s=sou_sou_soulb&t=0_0&req=cff988e1-a698-4280-a3c3-52de61fe8d86,nginx/单元测试/docker/java/redis/tomcat/spring boot/mysql,371
6083,51job,福州市力众合进出口贸易有限公司,福州·福清市,18000,25000,2年及以上,本科,,https://jobs.51job.com/fuzhou-fqs/168477673.html?s=sou_sou_soulb&t=0_0&req=cff988e1-a698-4280-a3c3-52de61fe8d86,oracle/spring cloud/mybatis/java/html/linux/css/tomcat/docker/spring boot/git/jquery/maven/kafka/mysql/nginx/javascript/sql server/postman,625
6084,51job,京北方信息技术股份有限公司,福州·台江区,10000,15000,2年及以上,本科,,https://jobs.51job.com/fuzhou-tjq/172690122.html?s=sou_sou_soulb&t=0_0&req=cff988e1-a698-4280-a3c3-52de61fe8d86,单元测试/分布式/mybatis/java/redis/spring boot/高并发/mysql,301
6085,51job,兴业数字金融服务（上海）股份有限公司,福州·台江区,16666,33333,2年及以上,本科,,https://jobs.51job.com/fuzhou-tjq/153978917.html?s=sou_sou_soulb&t=0_0&req=cff988e1-a698-4280-a3c3-52de61fe8d86,nginx/单元测试/docker/java/redis/tomcat/spring boot/mysql,404
6089,51job,兴业数字金融服务（上海）股份有限公司,福州·台江区,16666,33333,2年及以上,硕士,,https://jobs.51job.com/fuzhou-tjq/171668109.html?s=sou_sou_soulb&t=0_0&req=cff988e1-a698-4280-a3c3-52de61fe8d86,nginx/单元测试/docker/java/redis/tomcat/spring boot/mysql,404
