== 共 195 个城市 ==
城市      总记录     真实      ai_seed 类型数   状态
== 无任何数据城市 0 个 ==
[]

== 全国高频岗位标题 TOP40（按出现城市数）==
岗位标题                    城市数     总记录
软件工程师                   169     469
嵌入式软件工程师                166     391
Java开发工程师               148     303
项目经理                    145     249
前端开发工程师                 133     388
网络工程师                   131     243
AI产品经理                  131     217
Python开发工程师             126     234
后端开发工程师                 118     277
C++开发工程师                118     209
产品经理                    116     224
Go开发工程师                 110     179
全栈开发工程师                 103     280
测试开发工程师                 101     186
Web开发工程师                78      131
数据分析师                   72      226
DevOps工程师               72      104
大数据开发工程师                71      145
AI应用工程师                 71      135
工业数据分析师                 70      97
PLC工程师                  69      102
运维工程师                   67      236
Android开发工程师            67      89
BI工程师                   64      86
IT项目经理                  62      91
网络安全工程师                 61      99
工业互联网工程师                60      82
IoT开发工程师                59      80
人工智能工程师                 58      94
嵌入式开发工程师                58      91
机器学习工程师                 58      89
iOS开发工程师                57      79
算法工程师                   56      168
安全运维工程师                 56      82
企业信息化工程师                54      86
系统架构师                   54      78
数据库工程师                  53      76
DBA数据库管理员               53      65
车间主管                    52      85
计算机视觉工程师                52      82

== 抽查城市岗位类型分布（TOP12）==

[北京]
  java开发工程师×34 / 前端开发工程师×23 / 软件开发工程师×18 / 机器学习×18 / 后端开发工程师×16 / 全栈工程师×14 / 后端开发实习生×13 / 嵌入式软件工程师×12 / 质量工程师×12 / 人工智能实习生×11 / 软件工程师×10 / python开发工程师×10

[上海]
  软件开发工程师×42 / 数据分析师×40 / 全栈开发工程师×39 / 软件工程师×38 / EHS工程师×36 / 全栈工程师×31 / 运维工程师×30 / 大模型算法×28 / c++开发工程师×22 / 大模型算法工程师×19 / ehs工程师×18 / EHS专员×16

[广州]
  嵌入式软件工程师×50 / 体系工程师×42 / 前端开发工程师×36 / 测试工程师×28 / 软件测试工程师×26 / 软件工程师×24 / 后端开发工程师×22 / 运维工程师×22 / 软件开发工程师×20 / 全栈开发工程师×18 / 嵌入式软件开发工程师×14 / java开发工程师×14

[深圳]
  算法工程师×43 / AI算法工程师×40 / 测试工程师×26 / 嵌入式软件工程师×26 / 品质工程师×22 / 软件工程师×20 / 软件测试工程师×18 / AI应用工程师×17 / PQE工程师×16 / ERP工程师×16 / 后端开发工程师×16 / 全栈开发工程师×15

[南昌]
