[迁移] the_total_table 已补齐 industry_tags/skills/job_description/qualification/work_experience/city_seed/sort_weight 列
[重建] 已删除全部 ai_seed 行 11009 条

城市        省份      真实标题    已有AI    补齐前     补齐后     新增    达标
----------------------------------------------------------------------
三亚        海南      1       0       1       95      93    OK
上海        上海      1549    0       1549    1549    0     OK
上饶        江西      0       0       0       50      50    OK
东莞        广东      38      0       38      95      19    OK
中山        广东      18      0       18      95      59    OK
临汾        山西      0       0       0       50      50    OK
临沂        山东      0       0       0       95      95    OK
丹东        辽宁      0       0       0       50      50    OK
丽水        浙江      1       0       1       50      48    OK
丽江        云南      0       0       0       50      50    OK
乌鲁木齐      新疆      1       0       1       95      93    OK
乐山        四川      0       0       0       50      50    OK
九江        江西      0       0       0       50      50    OK
云浮        广东      0       0       0       50      50    OK
佛山        广东      25      0       25      95      45    OK
保定        河北      0       0       0       95      95    OK
信阳        河南      0       0       0       50      50    OK
克拉玛依      新疆      0       0       0       50      50    OK
兰州        甘肃      1       0       1       95      93    OK
内江        四川      0       0       0       50      50    OK
包头        内蒙古     0       0       0       95      95    OK
北京        北京      1268    0       1268    1268    0     OK
北海        广西      1       0       1       50      48    OK
十堰        湖北      0       0       0       50      50    OK
南京        江苏      483     0       483     483     0     OK
南充        四川      0       0       0       50      50    OK
南宁        广西      2       0       2       95      91    OK
南昌        江西      4       0       4       95      87    OK
南通        江苏      5       0       5       95      85    OK
南阳        河南      0       0       0       50      50    OK
厦门        福建      1       0       1       95      93    OK
台北        台湾      0       0       0       95      95    OK
台州        浙江      0       0       0       95      95    OK
合肥        安徽      101     0       101     101     0     OK
吉安        江西      2       0       2       50      46    OK
吉林        吉林      0       0       0       50      50    OK
周口        河南      0       0       0       50      50    OK
呼和浩特      内蒙古     1       0       1       95      93    OK
咸宁        湖北      0       0       0       50      50    OK
咸阳        陕西      0       0       0       95      95    OK
哈尔滨       黑龙江     0       0       0       95      95    OK
唐山        河北      0       0       0       95      95    OK
嘉兴        浙江      5       0       5       95      85    OK
嘉峪关       甘肃      0       0       0       50      50    OK
大同        山西      1       0       1       50      48    OK
大庆        黑龙江     0       0       0       95      95    OK
大理        云南      0       0       0       50      50    OK
大连        辽宁      3       0       3       95      89    OK
天水        甘肃      0       0       0       50      50    OK
天津        天津      83      0       83      83      0     OK
太原        山西      1       0       1       95      93    OK
威海        山东      1       0       1       50      48    OK
孝感        湖北      0       0       0       50      50    OK
宁德        福建      0       0       0       50      50    OK
宁波        浙江      20      0       20      95      55    OK
安庆        安徽      0       0       0       50      50    OK
安康        陕西      0       0       0       50      50    OK
宜宾        四川      1       0       1       50      48    OK
宜昌        湖北      0       0       0       95      95    OK
宜春        江西      0       0       0       50      50    OK
宝鸡        陕西      0       0       0       50      50    OK
宿州        安徽      0       0       0       50      50    OK
宿迁        江苏      1       0       1       50      48    OK
岳阳        湖南      1       0       1       95      93    OK
常州        江苏      15      0       15      95      65    OK
常德        湖南      0       0       0       50      50    OK
广安        四川      0       0       0       50      50    OK
广州        广东      1615    0       1615    1615    0     OK
廊坊        河北      1       0       1       95      93    OK
开封        河南      0       0       0       50      50    OK
徐州        江苏      0       0       0       95      95    OK
德阳        四川      1       0       1       50      48    OK
惠州        广东      72      0       72      72      0     OK
成都        四川      978     0       978     978     0     OK
扬州        江苏      0       0       0       95      95    OK
抚顺        辽宁      0       0       0       50      50    OK
拉萨        西藏      0       0       0       95      95    OK
